time,mc energy,min energy
1,100,9.99669021600002
101,100,9.665711816002082
201,100,9.334733416004143
301,100,9.003755016006204
401,100,8.672776616008266
501,100,8.341798216010327
601,100,8.010819816012388
701,100,7.679841416010411
801,100,7.3488630160082975
901,100,7.017884616006184
1001,100,6.686906216004071
1101,100,6.355927816001958
1201,100,6.024949415999845
1301,100,5.6939710159977315
1401,100,5.362992615995618
1501,100,5.032014215993505
1601,100,4.701035815991392
1701,100,4.370057415989279
1801,100,4.0390790159871655
1901,99.11999999999955,3.708100615986854
2001,93.8151022914906,3.740529838297149
2101,86.0985146910255,4.0152308088142625
2201,78.58290517752907,4.289931779329425
2301,71.56935949798613,4.564632749844588
2401,65.35265188241452,4.83933372035975
2501,59.26686892760935,5.114034690874913
2601,53.34559845341583,5.25308544481531
2701,47.58126418152862,5.096904775850943
2801,41.91964181117009,4.9407241068865755
2901,36.32235486622937,4.784543437922208
3001,30.790960015009578,4.628362768957841
3101,25.355011975009727,4.472182099993473
3201,20.937431485688325,4.310710431373607
3301,20.937431485688325,4.119256431372584
3401,20.567431485688267,3.9278024313719286
3501,16.188826501949436,4.1511843761075795
3601,15.916545811068644,3.964353790795118
3701,10.250687190259356,4.235241259629846
3801,9.03342139896562,4.066904333070603
3901,98.13342139896557,3.8754503330702152
4001,97.13342139896506,3.683996333070169
4101,93.44269656981388,3.5780132757445147
4201,87.90073136842788,3.479273768087073
4301,82.77057859176138,3.3750028308891213
4401,79.22855379878072,3.222100622496275
4501,72.49793686173251,3.1239213337321976
4601,66.45200862405353,3.02574204496812
4701,60.83685999714029,2.9275627562040425
4801,56.66893129998251,2.8024857611817566
4901,52.77568161137054,2.6705576762812537
5001,47.49130327783693,2.571818168623812
5101,42.24354777429854,2.4730786609663706
5201,37.013622785543184,2.374339153308929
5301,31.84762394370106,2.2755996456514875
5401,26.736424806633558,2.176860137994046
5501,21.625225669566056,2.0781206303366044
5601,16.549164340884516,1.9737109849638383
5701,13.708382913272716,1.7641710041964729
5801,9.56489039459388,1.6836896491039959
5901,98.66489039459387,1.4535082390963965
6001,97.66489039459336,1.1225298390963483
6101,94.43860545702326,0.8082447035366056
6201,89.01542940080061,0.5170121712515705
6301,85.78479736973158,0.20749653981762448
6401,79.99634517150716,0.36711842993656135
6501,74.20153049149587,0.6418194004537835
6601,68.77244311873542,0.5975725126629471
6701,64.91506263037716,0.46785798207811313
6801,58.211146578508604,0.7542529564818172
6901,51.31215531704758,0.5307379983844578
7001,44.44558455976127,0.30722304028708863
7101,37.58706851851369,0.08370808218973419
7138,35.05080348713754,-6.708672529507883e-05
